"city","data_source","Var_p","Var_W"
"Abidjan","era5-land",69331.8719966173,60783.3016733615
"Abidjan","gleam-v4-1a",NA,34521.1238382135
"Abidjan","mswep-v2-8",47377.9742479916,45858.6167134778
"Abidjan","terraclimate",36959.1187830867,34020.953690222
"Abu Dhabi","era5-land",1522.71963483087,1607.05133382664
"Abu Dhabi","gleam-v4-1a",NA,781.469956236786
"Abu Dhabi","mswep-v2-8",2155.55372827696,1708.98702130021
"Abu Dhabi","terraclimate",942.555217970402,2.38837568710359
"Abuja","era5-land",54281.3849608351,56228.2752247357
"Abuja","gleam-v4-1a",NA,36328.5508352537
"Abuja","mswep-v2-8",23384.4652906448,33869.9742004228
"Abuja","terraclimate",29191.0766966173,20137.0413073996
"Accra","era5-land",39628.7688348309,19514.0342555497
"Accra","gleam-v4-1a",NA,15066.891444556
"Accra","mswep-v2-8",14233.8518614693,8230.17963229387
"Accra","terraclimate",20138.1065883192,3875.9676640592
"Addis Ababa","era5-land",40015.6230114165,27536.1208200846
"Addis Ababa","gleam-v4-1a",NA,15554.0395608351
"Addis Ababa","mswep-v2-8",13920.3064439746,10330.7849270613
"Addis Ababa","terraclimate",16565.3321253171,8640.89562135307
"Ahmedabad","era5-land",94642.5977578753,67696.2614809197
"Ahmedabad","gleam-v4-1a",NA,43643.2490674419
"Ahmedabad","mswep-v2-8",86645.3462928118,64828.9304249471
"Ahmedabad","terraclimate",56930.3248714588,31978.0269183932
"Alexandria","era5-land",3606.65234080338,7161.01096215645
"Alexandria","gleam-v4-1a",NA,1424.29688937632
"Alexandria","mswep-v2-8",2131.47012320296,836.071159989429
"Alexandria","terraclimate",2713.0725160148,35.6628259513742
"Algiers","era5-land",18059.7598190275,11400.8810754228
"Algiers","gleam-v4-1a",NA,16478.4192852008
"Algiers","mswep-v2-8",18851.3787143235,12122.5891113636
"Algiers","terraclimate",23435.9828725159,11929.3265253171
"Amman","era5-land",3811.11310036998,2479.52361030655
"Amman","gleam-v4-1a",NA,4665.21084455603
"Amman","mswep-v2-8",6234.0013372093,4864.91372536998
"Amman","terraclimate",6527.58426020085,2282.09029487315
"Amsterdam","era5-land",14530.2993650634,13636.3467692918
"Amsterdam","gleam-v4-1a",NA,11936.7100687104
"Amsterdam","mswep-v2-8",11500.4432119979,11148.9125794926
"Amsterdam","terraclimate",12534.1876022727,9193.60250676533
"Ankara","era5-land",6263.25383382664,5505.70530359408
"Ankara","gleam-v4-1a",NA,4071.8403917019
"Ankara","mswep-v2-8",4625.52937610994,3872.38712785412
"Ankara","terraclimate",4438.31905264271,1745.011497463
"Antananarivo","era5-land",47009.9823881607,40124.0216771142
"Antananarivo","gleam-v4-1a",NA,54598.6999283298
"Antananarivo","mswep-v2-8",52517.4584813425,49476.1105866279
"Antananarivo","terraclimate",50700.2985061311,52701.5207392706
"Asmara","era5-land",27096.5725342495,17724.6012625793
"Asmara","gleam-v4-1a",NA,13905.32470037
"Asmara","mswep-v2-8",13703.1896458774,7185.31662325582
"Asmara","terraclimate",14806.5020906448,5323.95675940803
"Astana","era5-land",4380.77739704017,2091.07866786469
"Astana","gleam-v4-1a",NA,1491.87320359408
"Astana","mswep-v2-8",3137.24642764271,1905.71252193446
"Astana","terraclimate",2697.39880211416,669.291443128964
"Asuncion","era5-land",116333.065061469,118443.196152431
